idissuelink,issuekey,linkedIssueKey,name
148,AURORA-1174,AURORA-904,blocks
149,AURORA-1187,AURORA-904,blocks
150,AURORA-1201,AURORA-904,blocks
151,AURORA-1228,AURORA-1047,blocks
152,AURORA-1228,AURORA-1276,is blocked by
153,AURORA-1228,AURORA-1283,is blocked by
154,AURORA-1267,AURORA-1323,is duplicated by
155,AURORA-1291,AURORA-1292,is duplicated by
156,AURORA-1305,AURORA-1306,blocks
157,AURORA-1306,AURORA-1305,is blocked by
158,AURORA-131,AURORA-775,relates to
159,AURORA-1311,AURORA-1315,is blocked by
160,AURORA-1315,AURORA-1311,blocks
161,AURORA-1321,AURORA-1324,is related to
162,AURORA-1352,AURORA-1078,blocks
163,AURORA-1352,AURORA-1378,relates to
164,AURORA-1368,AURORA-1078,blocks
165,AURORA-1386,AURORA-1395,relates to
166,AURORA-1395,AURORA-1386,is related to
167,AURORA-1401,AURORA-1078,blocks
168,AURORA-142,AURORA-711,blocks
169,AURORA-142,AURORA-140,is blocked by
170,AURORA-142,AURORA-143,is depended upon by
171,AURORA-143,AURORA-140,depends upon
172,AURORA-143,AURORA-141,depends upon
173,AURORA-143,AURORA-142,depends upon
174,AURORA-175,AURORA-176,blocks
175,AURORA-176,AURORA-175,is blocked by
176,AURORA-274,AURORA-904,is related to
177,AURORA-31,AURORA-809,is duplicated by
178,AURORA-31,AURORA-155,is related to
179,AURORA-330,AURORA-1015,is duplicated by
180,AURORA-330,AURORA-964,is related to
181,AURORA-350,AURORA-370,is blocked by
182,AURORA-363,AURORA-312,is duplicated by
183,AURORA-363,AURORA-585,is related to
184,AURORA-369,AURORA-987,relates to
185,AURORA-377,AURORA-495,is related to
186,AURORA-407,AURORA-408,blocks
187,AURORA-407,AURORA-417,is blocked by
188,AURORA-408,AURORA-407,is blocked by
189,AURORA-417,AURORA-407,blocks
190,AURORA-437,AURORA-488,duplicates
191,AURORA-440,AURORA-704,is duplicated by
192,AURORA-454,AURORA-775,depends upon
193,AURORA-456,AURORA-625,is duplicated by
194,AURORA-476,AURORA-127,duplicates
195,AURORA-484,AURORA-20,duplicates
196,AURORA-495,AURORA-377,relates to
197,AURORA-520,AURORA-506,supercedes
198,AURORA-521,AURORA-435,is duplicated by
199,AURORA-521,AURORA-568,relates to
200,AURORA-556,AURORA-656,duplicates
201,AURORA-579,AURORA-648,is related to
202,AURORA-585,AURORA-462,blocks
203,AURORA-585,AURORA-462,duplicates
204,AURORA-585,AURORA-363,relates to
205,AURORA-585,AURORA-695,is related to
206,AURORA-608,MESOS-1646,relates to
207,AURORA-608,AURORA-652,is related to
208,AURORA-613,AURORA-621,is blocked by
209,AURORA-617,AURORA-618,is depended upon by
210,AURORA-617,AURORA-619,is depended upon by
211,AURORA-627,AURORA-711,blocks
212,AURORA-627,AURORA-791,is duplicated by
213,AURORA-662,AURORA-184,duplicates
214,AURORA-678,AURORA-679,is blocked by
215,AURORA-679,AURORA-678,blocks
216,AURORA-686,AURORA-732,relates to
217,AURORA-689,AURORA-674,relates to
218,AURORA-690,AURORA-610,relates to
219,AURORA-716,MESOS-2215,is blocked by
220,AURORA-716,MESOS-444,relates to
221,AURORA-717,AURORA-718,is related to
222,AURORA-718,AURORA-741,is blocked by
223,AURORA-718,AURORA-717,relates to
224,AURORA-718,AURORA-732,relates to
225,AURORA-722,AURORA-74,relates to
226,AURORA-732,AURORA-686,is related to
227,AURORA-732,AURORA-718,is related to
228,AURORA-741,AURORA-718,blocks
229,AURORA-775,AURORA-776,blocks
230,AURORA-775,AURORA-872,blocks
231,AURORA-775,AURORA-712,is duplicated by
232,AURORA-775,AURORA-888,is duplicated by
233,AURORA-775,AURORA-131,is related to
234,AURORA-775,AURORA-454,is depended upon by
235,AURORA-782,AURORA-872,blocks
236,AURORA-782,AURORA-816,is duplicated by
237,AURORA-784,AURORA-872,blocks
238,AURORA-788,MESOS-243,relates to
239,AURORA-793,AURORA-872,blocks
240,AURORA-793,AURORA-794,relates to
241,AURORA-793,AURORA-919,is related to
242,AURORA-794,AURORA-872,blocks
243,AURORA-794,AURORA-793,is related to
244,AURORA-801,AURORA-800,relates to
245,AURORA-805,AURORA-919,is duplicated by
246,AURORA-809,AURORA-904,blocks
247,AURORA-809,AURORA-31,duplicates
248,AURORA-810,AURORA-904,blocks
249,AURORA-810,AURORA-817,blocks
250,AURORA-812,AURORA-159,is duplicated by
251,AURORA-813,AURORA-515,is duplicated by
252,AURORA-817,AURORA-904,blocks
253,AURORA-817,AURORA-810,is blocked by
254,AURORA-823,MESOS-1898,is related to
255,AURORA-824,AURORA-825,relates to
256,AURORA-825,AURORA-824,is related to
257,AURORA-84,AURORA-379,is duplicated by
258,AURORA-863,AURORA-711,blocks
259,AURORA-863,MESOS-1010,is blocked by
260,AURORA-872,AURORA-793,is blocked by
261,AURORA-872,AURORA-996,is blocked by
262,AURORA-872,AURORA-1002,is blocked by
263,AURORA-872,AURORA-1050,is blocked by
264,AURORA-872,AURORA-1067,is blocked by
265,AURORA-872,AURORA-423,is blocked by
266,AURORA-872,AURORA-784,is blocked by
267,AURORA-872,AURORA-794,is blocked by
268,AURORA-872,AURORA-989,is blocked by
269,AURORA-872,AURORA-990,is blocked by
270,AURORA-872,AURORA-992,is blocked by
271,AURORA-872,AURORA-827,is blocked by
272,AURORA-872,AURORA-775,is blocked by
273,AURORA-872,AURORA-782,is blocked by
274,AURORA-872,AURORA-994,is blocked by
275,AURORA-872,AURORA-919,is blocked by
276,AURORA-872,AURORA-633,is related to
277,AURORA-885,AURORA-922,is duplicated by
278,AURORA-888,AURORA-775,duplicates
279,AURORA-888,AURORA-554,is duplicated by
280,AURORA-896,AURORA-827,is related to
281,AURORA-909,AURORA-914,depends upon
282,AURORA-911,AURORA-1148,relates to
283,AURORA-912,AURORA-711,blocks
284,AURORA-912,AURORA-743,is related to
285,AURORA-914,AURORA-909,is depended upon by
286,AURORA-919,AURORA-872,blocks
287,AURORA-919,AURORA-805,duplicates
288,AURORA-919,AURORA-793,relates to
289,AURORA-920,AURORA-711,blocks
290,AURORA-930,AURORA-953,relates to
291,AURORA-930,AURORA-74,relates to
292,AURORA-950,AURORA-990,is duplicated by
293,AURORA-956,MESOS-2167,relates to
294,AURORA-964,AURORA-330,relates to
295,AURORA-964,AURORA-932,is related to
296,AURORA-969,AURORA-591,is duplicated by
297,AURORA-970,AURORA-989,relates to
298,AURORA-989,AURORA-872,blocks
299,AURORA-989,AURORA-970,is related to
300,HELIX-18,HELIX-189,duplicates
301,KYLIN-170,KYLIN-8,is duplicated by
302,KYLIN-261,KYLIN-573,is part of
303,KYLIN-393,KYLIN-578,is duplicated by
304,KYLIN-531,KYLIN-3,is duplicated by
305,KYLIN-531,KYLIN-361,is duplicated by
306,KYLIN-582,KYLIN-594,Is contained by
307,KYLIN-607,KYLIN-673,depends upon
308,KYLIN-607,KYLIN-668,depends upon
309,KYLIN-618,KYLIN-612,relates to
310,KYLIN-655,KYLIN-625,relates to
311,KYLIN-668,KYLIN-607,is depended upon by
312,KYLIN-669,KYLIN-703,is blocked by
313,KYLIN-669,KYLIN-711,is blocked by
314,KYLIN-669,KYLIN-714,is blocked by
315,KYLIN-669,KYLIN-715,is blocked by
316,KYLIN-669,INFRA-9573,is blocked by
317,KYLIN-669,INFRA-9667,is blocked by
318,KYLIN-671,KYLIN-663,contains
319,KYLIN-671,KYLIN-649,is duplicated by
320,KYLIN-671,KYLIN-690,depends upon
321,KYLIN-697,KYLIN-694,relates to
322,KYLIN-697,KYLIN-698,is related to
323,KYLIN-697,INFRA-9423,is depended upon by
324,KYLIN-703,KYLIN-669,blocks
325,KYLIN-711,KYLIN-669,blocks
326,KYLIN-714,KYLIN-669,blocks
327,KYLIN-714,KYLIN-715,relates to
328,KYLIN-715,KYLIN-669,blocks
329,KYLIN-715,KYLIN-714,is related to
330,KYLIN-750,HBASE-11598,depends upon
331,KYLIN-750,HBASE-13356,depends upon
332,KYLIN-780,KYLIN-484,supercedes
333,KYLIN-780,CALCITE-296,depends upon
334,KYLIN-805,KYLIN-589,contains
335,KYLIN-807,KYLIN-243,Is contained by
336,KYLIN-840,KYLIN-841,is duplicated by
337,KYLIN-9,KYLIN-487,is duplicated by
338,MESOS-1114,MESOS-1307,is cloned by
339,MESOS-1114,MESOS-1342,is part of
340,MESOS-1119,MESOS-1581,duplicates
341,MESOS-1120,MESOS-1131,is related to
342,MESOS-1132,MESOS-1332,depends upon
343,MESOS-1143,MESOS-1736,relates to
344,MESOS-1143,MESOS-343,relates to
345,MESOS-1143,MESOS-1830,relates to
346,MESOS-1143,MESOS-1930,relates to
347,MESOS-1143,AURORA-1141,relates to
348,MESOS-1148,MESOS-2230,is blocked by
349,MESOS-1148,MESOS-2392,is related to
350,MESOS-1187,MESOS-3090,relates to
351,MESOS-1219,MESOS-1719,is related to
352,MESOS-1278,MESOS-687,is duplicated by
353,MESOS-1286,MESOS-2893,is related to
354,MESOS-1286,MESOS-1371,is depended upon by
355,MESOS-1303,MESOS-2745,is related to
356,MESOS-1307,MESOS-1114,is a clone of
357,MESOS-1307,MESOS-1342,is part of
358,MESOS-1317,MESOS-1319,incorporates
359,MESOS-1317,MESOS-1320,incorporates
360,MESOS-1317,MESOS-1321,incorporates
361,MESOS-1317,MESOS-1322,incorporates
362,MESOS-1319,MESOS-1320,is cloned by
363,MESOS-1319,MESOS-1317,is part of
