boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
118,182,Sprint 3 - May 25 - High Level,-3,17,13,13,1,1,5,5,7,7,2,2,0,0,1,2
118,204,Sprint 4,-2,18,8,8,0,0,0,0,4,4,1,1,3,3,1,2
118,228,Sprint 5,-6,14,7,7,0,0,0,0,6,6,0,0,1,1,1,2
118,243,C# Sprint 6,1,18,0,0,14,14,9,9,5,5,0,0,0,0,1,2
118,261,C# Sprint 7,-3,14,10,10,1,1,0,0,2,2,4,4,5,5,1,2
118,262,C# Sprint 8,-12,18,18,18,0,0,0,0,16,16,0,0,2,2,1,3
118,263,C# Sprint 9,-9,18,15,15,3,3,0,0,11,11,2,2,5,5,1,2
118,289,C# Sprint 10,-2,18,0,0,19,19,6,6,3,3,1,1,9,9,1,2
118,304,C Sprint 9,0,18,0,0,1,1,1,1,0,0,0,0,0,0,1,1
118,339,C# Sprint 11,5,18,7,7,8,8,0,0,3,3,2,2,10,10,1,3
118,353,C# Sprint 12,6,32,10,10,2,2,1,1,11,11,0,0,0,0,1,2
118,377,C# Sprint 14,8,18,7,7,0,0,0,0,7,7,0,0,0,0,1,2
118,391,C# Sprint 15,-4,17,4,4,0,0,0,0,2,2,2,2,0,0,1,1
118,441,C# Sprint 16,0,7,4,4,0,0,0,0,2,2,0,0,2,2,1,1
118,451,C# Sprint 17,-1,20,1,1,5,5,1,1,1,1,3,3,1,1,1,2
118,488,C# Sprint 18,-6,18,7,7,0,0,0,0,6,6,1,1,0,0,1,2
118,506,C# Sprint 19,1,21,16,16,8,8,4,4,20,20,0,0,0,0,1,1
118,549,C# Sprint 20,-4,21,8,8,3,3,0,0,3,3,2,2,6,6,1,2
118,589,C# Sprint 21,2,17,8,8,3,3,3,3,8,8,0,0,0,0,1,2
118,590,C# Sprint 22,-5,18,5,5,3,3,2,2,5,5,1,1,0,0,1,2
118,591,C# Sprint 23,-4,18,3,3,8,8,0,0,9,9,0,0,2,2,1,2
119,77,Sprint 1,-2,18,6,6,1,1,1,1,4,4,2,2,0,0,1,3
119,81,Sprint 2,-3,14,6,6,3,3,0,0,5,5,2,2,2,2,1,2
119,82,Sprint 3,4,9,6,6,12,12,4,4,1,1,6,6,7,7,1,5
119,107,Sprint 4,2,31,6,6,2,2,0,0,3,3,2,2,3,3,1,1
119,123,Sprint 1 - April 14 - May 2,9,18,9,9,2,2,2,2,4,4,4,4,1,1,1,3
119,155,Sprint 1 - April 14 - May 2,0,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1
119,161,Sprint 2 - May 5 - May 23,-8,21,10,10,8,8,0,0,7,7,10,10,1,1,1,4
119,185,Sprint 3 - May 27 - June 13,37,718,0,0,0,0,0,0,0,0,0,0,0,0,1,1
119,202,Sprint 4 - June 16 - July 3,-4,17,15,15,8,8,0,0,4,4,4,4,15,15,1,2
119,204,Sprint 4,0,18,0,0,6,6,6,6,0,0,0,0,0,0,1,2
119,239,Sprint  5 - July 7 - July 25,-3,18,0,0,8,8,3,3,2,2,2,2,1,1,1,3
119,251,Java Sprint 6,34,18,0,0,14,14,9,9,0,0,4,4,1,1,1,4
119,262,C# Sprint 8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
119,264,Java Sprint 7,-5,18,15,15,5,5,1,1,6,6,3,3,10,10,1,4
119,265,Java Sprint 8,16,18,9,9,4,4,2,2,6,6,1,1,4,4,1,4
119,298,Java Sprint 9,9,17,24,24,4,4,1,1,1,1,6,6,20,20,1,4
119,321,Java Sprint 10,9,18,8,8,10,10,1,1,10,10,0,0,7,7,1,1
119,338,Java Sprint 11,4,18,6,6,12,12,1,1,17,17,0,0,0,0,1,3
119,351,Java Sprint 12,16,39,14,14,5,5,2,2,17,17,0,0,0,0,1,3
119,371,Java Sprint 14,8,18,9,9,6,6,1,1,1,1,3,3,10,10,1,2
119,391,C# Sprint 15,0,17,0,0,1,1,1,1,0,0,0,0,0,0,1,1
119,396,Java Sprint 15,12,17,3,3,3,3,0,0,3,3,1,1,2,2,1,3
119,440,Java Sprint 16,0,7,3,3,2,2,0,0,4,4,0,0,1,1,1,1
119,454,Java Sprint 17,5,18,5,5,5,5,2,2,8,8,0,0,0,0,1,2
119,485,Java Sprint 18,5,18,4,4,9,9,2,2,3,3,2,2,6,6,1,2
119,506,C# Sprint 19,0,21,11,11,0,0,11,11,0,0,0,0,0,0,1,2
119,521,Java Sprint 19,-2,18,0,0,17,17,0,0,4,4,2,2,11,11,1,2
119,522,Java Sprint 20,-3,17,6,6,8,8,0,0,8,8,1,1,5,5,1,2
119,552,Java Sprint 20,-2,18,8,8,11,11,0,0,4,4,2,2,13,13,1,3
119,586,Java Sprint 21,-4,18,0,0,11,11,0,0,4,4,2,2,5,5,1,2
119,587,Java Sprint 23,-8,18,0,0,11,11,0,0,11,11,0,0,0,0,1,1
121,130,Sprint 1 April 14 - May 2,8,18,13,13,2,2,3,3,12,12,0,0,0,0,1,3
121,131,Sprint 2,-8,18,12,12,1,1,0,0,8,8,2,2,3,3,1,2
121,182,Sprint 3 - May 25 - High Level,-1,17,13,13,1,1,7,7,5,5,2,2,0,0,1,2
121,204,Sprint 4,-2,18,7,7,1,1,0,0,4,4,1,1,3,3,1,2
121,228,Sprint 5,-6,14,6,6,1,1,0,0,6,6,0,0,1,1,1,2
121,243,C# Sprint 6,1,18,0,0,14,14,9,9,5,5,0,0,0,0,1,2
121,261,C# Sprint 7,-3,14,10,10,1,1,0,0,2,2,4,4,5,5,1,2
121,262,C# Sprint 8,-10,18,14,14,2,2,0,0,14,14,0,0,2,2,1,3
121,263,C# Sprint 9,-8,18,11,11,6,6,0,0,10,10,2,2,5,5,1,2
121,289,C# Sprint 10,0,18,0,0,19,19,8,8,1,1,1,1,9,9,1,2
121,304,C Sprint 9,0,18,0,0,1,1,1,1,0,0,0,0,0,0,1,1
121,339,C# Sprint 11,5,18,5,5,10,10,0,0,3,3,2,2,10,10,1,3
121,353,C# Sprint 12,6,32,10,10,2,2,1,1,11,11,0,0,0,0,1,2
121,377,C# Sprint 14,8,18,6,6,1,1,0,0,7,7,0,0,0,0,1,2
121,391,C# Sprint 15,-4,17,4,4,0,0,0,0,2,2,2,2,0,0,1,1
121,441,C# Sprint 16,0,7,4,4,0,0,0,0,2,2,0,0,2,2,1,1
121,451,C# Sprint 17,-1,20,1,1,5,5,1,1,1,1,3,3,1,1,1,2
121,488,C# Sprint 18,-6,18,6,6,1,1,0,0,6,6,1,1,0,0,1,2
121,506,C# Sprint 19,2,21,15,15,8,8,4,4,19,19,0,0,0,0,1,1
121,549,C# Sprint 20,0,21,5,5,3,3,1,1,7,7,0,0,0,0,1,2
121,589,C# Sprint 21,2,17,7,7,4,4,3,3,8,8,0,0,0,0,1,2
121,590,C# Sprint 22,-4,18,5,5,2,2,2,2,4,4,1,1,0,0,1,2
121,591,C# Sprint 23,-3,18,2,2,8,8,0,0,8,8,0,0,2,2,1,2
139,101,Sprint 1 - April 14,-2,21,2,2,0,0,0,0,2,2,0,0,0,0,1,1
139,162,Sprint 2 - May 5 - May 23,0,18,4,4,0,0,0,0,4,4,0,0,0,0,1,1
139,183,Sprint 3 - May 25 - June 13,1,16,5,5,4,4,2,2,5,5,2,2,0,0,1,1
139,203,Sprint 4,0,17,4,4,0,0,0,0,3,3,1,1,0,0,1,1
139,231,Sprint 5,0,18,11,11,0,0,11,11,0,0,0,0,0,0,1,2
139,247,Perl Sprint 6,-5,18,19,20,0,0,3,4,1,0,4,5,11,11,1,2
139,273,Perl Sprint 7,0,18,1,1,9,10,0,0,4,4,0,0,6,7,1,3
139,288,Perl Sprint 8,-15,18,0,0,6,24,1,5,3,16,0,0,2,3,1,3
139,302,Perl Sprint 9,0,17,8,33,1,1,0,0,3,3,1,3,5,28,1,3
139,323,Perl Sprint 10,-4,17,0,0,4,11,0,0,2,9,1,1,1,1,1,1
139,340,Perl Sprint 11,-5,18,0,0,7,13,0,0,4,5,1,3,2,5,1,2
139,347,Perl Sprint 12,-9,18,0,0,5,12,0,0,4,4,1,8,0,0,1,2
139,354,Perl Sprint 13,-4,18,0,0,14,29,0,0,3,4,0,0,11,25,1,2
139,380,Perl Sprint 14,-14,18,3,16,0,0,0,0,3,16,0,0,0,0,1,1
139,395,Perl Sprint 16,-8,18,0,0,5,8,0,0,2,1,3,7,0,0,1,1
139,449,Perl Sprint 17,-16,18,0,0,23,39,3,3,2,7,4,9,14,20,1,2
139,486,Perl Sprint 18,-20,18,8,20,0,0,0,0,8,20,0,0,0,0,1,1
139,516,Perl Sprint 19,-1,18,0,0,8,20,0,0,8,20,0,0,0,0,1,1
139,554,Perl Sprint 20,4,18,18,29,1,2,0,0,5,9,5,7,9,15,1,1
139,571,Perl Sprint 21,-22,17,12,32,0,0,0,0,10,27,2,5,0,0,1,1
139,608,Perl Sprint 22,-22,18,0,0,11,33,2,6,7,11,1,13,1,3,1,1
139,634,Perl Sprint 23,0,18,3,17,0,0,0,0,0,0,1,3,2,14,1,1
141,31,Sprint 1,-3,37,3,3,2,2,0,0,3,3,0,0,2,2,1,4
141,103,Sprint 2,0,14,5,5,0,0,0,0,4,4,0,0,1,1,1,3
141,139,Sprint 1 - April 14 - May 2,-5,18,6,6,2,2,0,0,8,8,0,0,0,0,1,4
141,140,Sprint 2 - May 5 - May 23,-3,18,6,6,0,0,0,0,6,6,0,0,0,0,1,3
141,181,Sprint 3 - May 25 - June 13,-4,17,12,12,2,2,0,0,9,9,4,4,1,1,1,4
141,197,Sprint 4 - June 16 - July 4,-6,18,3,3,7,7,3,3,3,3,3,3,1,1,1,5
141,207,Sprint 5 - July 7-25,0,14,6,6,2,2,8,8,0,0,0,0,0,0,1,5
141,208,Ruby Sprint 6,-14,18,5,5,9,9,0,0,14,14,0,0,0,0,1,5
141,275,Ruby Sprint 7,-9,17,15,15,0,0,0,0,13,13,0,0,2,2,1,5
141,285,Ruby Sprint 8,-2,18,10,10,0,0,0,0,5,5,1,1,4,4,1,5
141,300,Ruby Sprint 9,-8,18,13,13,0,0,0,0,11,11,2,2,0,0,1,2
141,327,Ruby Sprint 11,14,18,0,0,12,12,0,0,10,10,2,2,0,0,1,2
141,392,Ruby Sprint 15,5,21,15,15,0,0,0,0,13,13,0,0,2,2,1,2
141,417,Ruby Sprint 16,0,14,8,8,4,4,0,0,7,7,1,1,4,4,1,3
141,492,Ruby Sprint 18,0,17,3,3,0,0,3,3,0,0,0,0,0,0,1,2
141,514,Ruby Sprint 19,-1,18,0,0,8,8,6,6,2,2,0,0,0,0,1,2
141,584,Ruby Sprint 21,7,18,0,0,20,20,1,1,15,15,2,2,2,2,1,1
141,619,Ruby Sprint 22,-2,14,6,6,3,3,2,2,7,7,0,0,0,0,1,2
161,130,Sprint 1 April 14 - May 2,8,18,13,13,2,2,3,3,12,12,0,0,0,0,1,3
161,131,Sprint 2,-8,18,12,12,1,1,0,0,8,8,2,2,3,3,1,2
161,182,Sprint 3 - May 25 - High Level,-3,17,13,13,1,1,5,5,7,7,2,2,0,0,1,2
161,204,Sprint 4,-2,18,8,8,0,0,0,0,4,4,1,1,3,3,1,2
161,228,Sprint 5,-6,14,7,7,0,0,0,0,6,6,0,0,1,1,1,2
161,243,C# Sprint 6,1,18,0,0,14,14,9,9,5,5,0,0,0,0,1,2
161,261,C# Sprint 7,-3,14,10,10,1,1,0,0,2,2,4,4,5,5,1,2
161,262,C# Sprint 8,-12,18,18,18,0,0,0,0,16,16,0,0,2,2,1,3
161,263,C# Sprint 9,-9,18,15,15,3,3,0,0,11,11,2,2,5,5,1,2
161,289,C# Sprint 10,-2,18,0,0,19,19,6,6,3,3,1,1,9,9,1,2
161,304,C Sprint 9,0,18,0,0,1,1,1,1,0,0,0,0,0,0,1,1
161,339,C# Sprint 11,5,18,7,7,8,8,0,0,3,3,2,2,10,10,1,3
161,353,C# Sprint 12,6,32,10,10,2,2,1,1,11,11,0,0,0,0,1,2
161,377,C# Sprint 14,8,18,7,7,0,0,0,0,7,7,0,0,0,0,1,2
161,391,C# Sprint 15,-4,17,4,4,0,0,0,0,2,2,2,2,0,0,1,1
161,441,C# Sprint 16,0,7,4,4,0,0,0,0,2,2,0,0,2,2,1,1
161,451,C# Sprint 17,-1,20,1,1,5,5,1,1,1,1,3,3,1,1,1,2
161,488,C# Sprint 18,-6,18,7,7,0,0,0,0,6,6,1,1,0,0,1,2
161,506,C# Sprint 19,1,21,16,16,8,8,4,4,20,20,0,0,0,0,1,1
161,549,C# Sprint 20,-4,21,8,8,3,3,0,0,3,3,2,2,6,6,1,2
161,589,C# Sprint 21,2,17,8,8,3,3,3,3,8,8,0,0,0,0,1,2
161,590,C# Sprint 22,-5,18,5,5,3,3,2,2,5,5,1,1,0,0,1,2
161,591,C# Sprint 23,-4,18,3,3,8,8,0,0,9,9,0,0,2,2,1,2
175,142,Sprint 3 - May 25 - June 13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1
175,208,Ruby Sprint 6,0,18,0,0,2,9,2,9,0,0,0,0,0,0,1,1
175,257,Node Sprint 6,-1,14,2,15,7,17,0,0,1,7,2,14,6,11,1,1
175,269,Node Sprint 7,16,21,7,30,6,7,0,0,13,37,0,0,0,0,1,1
175,287,Node Sprint 8,42,14,1,1,5,22,0,0,6,23,0,0,0,0,1,1
175,415,Node Sprint 15,0,14,3,3,0,0,0,0,3,3,0,0,0,0,1,1
175,423,Node Sprint 16,0,14,9,9,0,0,0,0,0,0,1,1,8,8,1,1
175,455,Node Sprint 17,0,18,13,13,0,0,0,0,1,1,0,0,12,12,1,1
175,456,Node Sprint 18,-2,14,22,22,10,10,2,2,5,5,0,0,25,25,1,1
175,515,Node Sprint 18,6,10,5,5,3,3,0,0,0,0,3,3,5,5,1,1
178,145,Sprint 1 - April 14 - May 2,5,16,7,7,18,18,1,1,3,3,5,5,16,16,1,3
178,146,Sprint 2 - May 5 - 23,-3,18,8,8,5,5,0,0,8,8,1,1,4,4,1,3
178,186,Sprint 3 - May 27 - June 13,-1,16,7,7,2,2,1,1,6,6,1,1,1,1,1,3
178,191,Sprint 4 June 16th - July 4th,-1,18,7,7,6,6,7,7,3,3,0,0,3,3,1,3
178,232,PHP Sprint 5 July 7th - 25th,2,18,2,2,13,13,1,1,5,5,5,5,4,4,1,2
178,241,PHP Sprint 6 July 28 - Aug 15,-8,18,0,0,17,17,0,0,8,8,0,0,9,9,1,3
178,276,PHP Sprint 7,-1,18,14,14,1,1,5,5,7,7,0,0,3,3,1,3
178,284,PHP Sprint 8,-3,18,10,10,3,3,3,3,4,4,1,1,5,5,1,3
178,286,C Sprint 8,0,18,0,0,1,1,1,1,0,0,0,0,0,0,1,2
178,309,PHP Sprint 9,-4,17,15,15,0,0,4,4,4,4,3,3,4,4,1,3
178,316,PHP Sprint 10,-3,18,0,0,16,20,5,5,4,8,1,1,6,6,1,3
178,344,PHP Sprint 11,10,10,18,20,11,13,0,0,29,33,0,0,0,0,1,3
178,348,PHP Sprint 12,24,18,9,15,24,24,0,0,33,39,0,0,0,0,1,3
178,370,PHP Sprint 13,11,17,0,0,7,7,0,0,7,7,0,0,0,0,1,2
178,382,PHP Sprint 14,43,18,6,8,5,5,0,0,11,13,0,0,0,0,1,3
178,401,PHP Sprint 15,2,18,17,17,3,7,0,0,7,7,2,2,11,15,1,3
178,425,PHP Sprint 16,-4,18,0,0,27,27,2,2,13,13,3,3,9,9,1,3
178,442,PHP Sprint 17,12,21,23,23,17,17,0,0,40,40,0,0,0,0,1,3
178,473,PHP Sprint 18,12,18,33,33,31,31,1,1,29,29,6,6,28,28,1,3
178,505,PHP Sprint 19,5,21,29,29,6,6,0,0,3,3,1,1,31,31,1,3
178,563,PHP Sprint 21,-12,18,24,24,5,5,0,0,16,16,5,5,8,8,1,1
178,564,PHP Sprint 22,-4,21,3,3,28,28,0,0,14,14,3,3,14,14,1,3
181,32,Sprint 1,-3,30,9,9,0,0,0,0,7,7,1,1,1,1,1,1
181,149,Sprint 1 - April 14 - May 2,3,10,5,5,5,5,0,0,6,6,3,3,1,1,1,3
181,163,Sprint 2 May - May 23,-1,18,3,3,0,0,0,0,3,3,0,0,0,0,1,1
181,201,Python Sprint 6,-6,18,6,6,5,5,1,1,6,6,3,3,1,1,1,2
181,271,Python Sprint 7,0,18,2,2,7,7,3,3,3,3,3,3,0,0,1,1
181,272,Python Sprint 8,-1,18,0,0,19,19,2,2,11,11,3,3,3,3,1,3
181,314,Python Sprint 9,0,18,0,0,16,16,7,7,0,0,3,3,6,6,1,2
181,326,Python Sprint 10,-2,18,0,0,9,9,0,0,6,6,3,3,0,0,1,1
181,349,Python Sprint 11,2,18,0,0,2,2,2,2,0,0,0,0,0,0,1,1
