idissuelink,issuekey,linkedIssueKey,name
151,CONF-26122,CONF-26120,causes
152,CONF-26122,CONF-25362,is duplicated by
153,CONF-26122,CONF-26255,relates to
154,CONF-26122,CONF-26024,is related to
155,CONF-26132,CONF-25366,relates to
156,CONF-26132,CONF-30017,is related to
157,CONF-26619,CONF-26767,is duplicated by
158,CONF-26619,CONF-26837,relates to
159,CONF-26619,CONF-26985,relates to
160,CONF-26694,CONF-26654,duplicates
161,CONF-26782,CONF-28249,relates to
162,CONF-26782,CONF-30996,is related to
163,CONF-26848,CONF-24918,is caused by
164,CONF-26848,CONF-26814,causes
165,CONF-26848,CONF-26994,relates to
166,CONF-26848,JRA-30373,relates to
167,CONF-26848,CONF-29359,is related to
168,CONF-27023,CONF-26729,is caused by
169,CONF-27023,CONF-28372,is duplicated by
170,CONF-27023,CONF-33337,is related to
171,CONF-27023,CONF-27796,is related to
172,CONF-27068,CONF-30471,is duplicated by
173,CONF-27068,CONF-32907,is related to
174,CONF-27339,CONF-29314,is related to
175,CONF-27397,CONF-22069,is blocked by
176,CONF-27782,CONF-32403,is duplicated by
177,CONF-27782,JRA-31295,relates to
178,CONF-27872,CONF-16993,relates to
179,CONF-27874,CONF-16993,relates to
180,CONF-28111,CONF-29228,is duplicated by
181,CONF-28111,CONF-28294,incorporates
182,CONF-28111,CONF-29228,relates to
183,CONF-28197,CONF-28275,duplicates
184,CONF-28249,CONF-31938,is related to
185,CONF-28249,CONF-26782,is related to
186,CONF-28249,CONF-27945,is related to
187,CONF-28258,CONF-996,relates to
188,CONF-28258,CONF-27701,is related to
189,CONF-28272,CONF-28741,is caused by
190,CONF-28329,CONF-28677,is duplicated by
191,CONF-28419,CONF-28230,is duplicated by
192,CONF-28419,CONF-31646,relates to
193,CONF-28577,CONF-28500,relates to
194,CONF-28593,CONF-28633,is duplicated by
195,CONF-28615,CONF-6404,is cloned from
196,CONF-28615,STASH-3607,relates to
197,CONF-28615,CONF-36018,is related to
198,CONF-28615,CONF-6404,is a regression of
199,CONF-28635,CONF-28869,is duplicated by
200,CONF-28635,CONF-31128,is duplicated by
201,CONF-28644,CONF-28971,is duplicated by
202,CONF-28655,JRA-27623,is related to
203,CONF-28659,CONF-28962,is duplicated by
204,CONF-28659,CONF-19470,incorporates
205,CONF-28659,CONF-27518,incorporates
206,CONF-29078,CONF-28987,duplicates
207,CONF-29078,CONF-28987,is duplicated by
208,CONF-29098,CONF-33844,is related to
209,CONF-29156,CONF-28107,is cloned from
210,CONF-29182,CONF-15967,duplicates
211,CONF-29182,CONF-30306,is duplicated by
212,CONF-29182,CONF-22283,relates to
213,CONF-29182,JRA-36989,relates to
214,CONF-29182,CONF-34608,is related to
215,CONF-29182,CONF-15967,is related to
216,CONF-29182,CONF-29566,is related to
217,CONF-29182,JRA-33280,is related to
218,CONF-29182,CONF-32611,has a regression in
219,CONF-29228,CONF-28111,duplicates
220,CONF-29228,CONF-28111,is related to
221,CONF-29513,CONF-22979,is duplicated by
222,CONF-29758,CONF-29608,causes
223,CONF-29758,CONF-29608,is duplicated by
224,CONF-29776,CONF-28277,is cloned from
225,CONF-29776,CONF-31860,incorporates
226,CONF-29799,CONF-29939,is duplicated by
227,CONF-29799,CONF-29831,is duplicated by
228,CONF-29799,CONF-30611,is duplicated by
229,CONF-29799,CONF-26011,relates to
230,CONF-29799,CONF-21113,relates to
231,CONF-29799,CONF-29942,relates to
232,CONF-29799,CONF-24567,relates to
233,CONF-29810,CONF-30549,Testing discovered
234,CONF-29810,CONF-15512,details
235,CONF-29810,CONF-30514,is duplicated by
236,CONF-29810,CONF-31624,relates to
237,CONF-29863,CONF-30615,is duplicated by
238,CONF-29910,CONF-8978,is caused by
239,CONF-29966,CONF-29904,relates to
240,CONF-30050,CONF-9857,duplicates
241,CONF-30050,CONF-35855,is duplicated by
242,CONF-30050,CONF-33913,is duplicated by
243,CONF-30050,CONF-35901,is duplicated by
244,CONF-30050,CONF-9857,incorporates
245,CONF-30050,CONF-33884,relates to
246,CONF-30050,CONF-36018,relates to
247,CONF-30050,CONF-33528,is related to
248,CONF-30050,CONF-33543,is related to
249,CONF-30084,CONF-30085,is related to
250,CONF-30085,CONF-30084,relates to
251,CONF-30104,CONF-31822,is related to
252,CONF-30115,CONF-25835,is duplicated by
253,CONF-30146,CONF-33193,was cloned as
254,CONF-30217,CONF-31021,relates to
255,CONF-30217,CONF-34177,is related to
256,CONF-30239,CONF-31500,is duplicated by
257,CONF-30321,CONF-30120,relates to
258,CONF-30380,CONF-31994,was split into
259,CONF-30384,CONF-30840,duplicates
260,CONF-30384,CONF-30487,is duplicated by
261,CONF-30384,CONF-30419,is duplicated by
262,CONF-30384,CONF-28993,relates to
263,CONF-30384,CONF-30840,is related to
264,CONF-30411,CONF-9281,relates to
265,CONF-30426,CSI-1012,was cloned as
266,CONF-30428,CONF-30686,is related to
267,CONF-30492,CONF-30487,relates to
268,CONF-30536,CONF-30749,causes
269,CONF-30569,CONF-32414,was cloned as
270,CONF-30569,CONF-31444,is duplicated by
271,CONF-30569,CONF-30587,relates to
272,CONF-30587,CONF-33475,duplicates
273,CONF-30587,CONF-30569,is related to
274,CONF-30587,CONF-32414,is related to
275,CONF-30630,CONF-30350,relates to
276,CONF-30633,CONF-30593,is duplicated by
277,CONF-30721,CONF-26656,duplicates
278,CONF-30731,CONF-28917,duplicates
279,CONF-30731,CONF-28917,is related to
280,CONF-30833,CONF-28704,relates to
281,CONF-30833,CONF-29317,relates to
282,CONF-30853,CONF-31768,duplicates
283,CONF-30874,CONF-30077,is related to
284,CONF-30891,CONF-29832,duplicates
285,CONF-30891,CONF-30966,relates to
286,CONF-30984,CONF-31003,duplicates
287,CONF-31021,CONF-31588,relates to
288,CONF-31021,CONF-30217,is related to
289,CONF-31149,CONF-31150,relates to
290,CONF-31149,CONF-31972,relates to
291,CONF-31150,CONF-31149,is related to
292,CONF-31156,JRA-35314,was cloned as
293,CONF-31156,CONF-31175,was cloned as
294,CONF-31156,CWD-3683,has a derivative of
295,CONF-31209,CONF-30672,relates to
296,CONF-31209,CONF-31210,relates to
297,CONF-31209,CONF-31241,is related to
298,CONF-31209,CONF-22911,is related to
299,CONF-31209,CONF-14379,is related to
300,CONF-31283,CONF-32897,is duplicated by
301,CONF-31283,CONF-21846,is duplicated by
302,CONF-31283,CONF-34360,is duplicated by
303,CONF-31283,CONF-21846,relates to
