boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
137,617,Core Sprint 8,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,644,Editor Sprint 1,-8,9,1,8,0,0,0,0,0,0,1,8,0,0,1,1
137,665,Galaxy - Sprint 4,0,14,0,0,1,3,0,0,1,3,0,0,0,0,1,1
137,667,Enterprise Sprint 18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,673,Editor 5.3 sprint 2,0,9,2,16,0,0,0,0,1,8,1,8,0,0,1,2
137,689,Galaxy - Sprint 5,0,15,1,3,0,0,0,0,1,3,0,0,0,0,1,2
137,776,Enterprise Sprint 19,0,14,2,6,0,0,0,0,0,0,0,0,2,6,1,4
137,902,Enterprise Sprint 23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,922,Enterprise Sprint 24,0,14,0,0,1,3,0,0,1,3,0,0,0,0,1,1
137,939,Warranty bugs,3,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,979,Enterprise Sprint 25,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,1017,Doraemon - Sprint 12,0,7,0,0,1,1,0,0,0,0,0,0,1,1,1,2
137,1041,5.5 Sprint 4,0,10,0,0,1,2,0,0,0,0,0,0,1,2,1,1
137,1058,Sprint 20,-3,7,1,3,0,0,0,0,0,0,1,3,0,0,1,1
137,1149,5.5 Sprint 7,-3,9,1,3,0,0,0,0,1,3,0,0,0,0,1,1
137,1161,Galaxy Sprint 18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,1183,Editor 5.5 Sprint 8,-3,9,1,3,0,0,0,0,0,0,1,3,0,0,1,1
137,1188,Galaxy - Sprint 19,-8,14,0,0,1,8,0,0,1,8,0,0,0,0,1,1
137,1220,Editor 5.5 Sprint 9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,1224,Galaxy Sprint 20,0,14,1,8,0,0,0,0,0,0,1,8,0,0,1,2
137,1251,Editor 5.6 Sprint 1,-7,9,2,7,0,0,0,0,1,5,1,2,0,0,1,2
137,1298,Editor 5.6 Sprint 2,0,22,1,2,0,0,0,0,1,2,0,0,0,0,1,2
137,1299,Muppets - T24,0,14,1,3,0,0,0,0,0,0,0,0,1,3,1,4
137,1386,API - 5.6 Sprint 5,0,8,1,3,0,0,0,0,1,3,0,0,0,0,1,1
137,1559,atlassian-selenium, anyone?,-5,7,0,0,1,5,0,0,1,5,0,0,0,0,1,2
137,1560,Kill 1 token with 2 weeks,0,14,1,5,0,0,0,0,0,0,0,0,1,5,1,3
137,1577,Warranty Bugs - OD-33,3,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2
137,1929,Muppets - OD-43,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,1973,Muppets - OD-45,0,5,1,3,0,0,0,0,1,3,0,0,0,0,1,1
137,2324,No rotation restrictions,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,2349,Cloud Infrastructure SP13,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
172,315,2.1-M2 Xmas Special,0,16,1,3,0,0,1,3,0,0,0,0,0,0,7,1
172,654,Fire 2.7-M3,0,6,1,3,0,0,1,3,0,0,0,0,0,0,7,1
172,897,Enterprise 2.9-M2,0,6,1,3,0,0,1,3,0,0,0,0,0,0,7,1
172,1781,Mono-sprint,-3,42,1,3,0,0,0,0,1,3,0,0,0,0,7,1
172,1984,Fire 3.8-W1,-3,6,1,3,0,0,0,0,1,3,0,0,0,0,7,1
172,2089,Fire 3.9-W1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1
172,2106,Fire 3.9-W2,-3,6,0,0,1,3,0,0,0,0,1,3,0,0,7,1
172,2132,Fire 3.9-W3,0,20,1,3,0,0,1,3,0,0,0,0,0,0,7,1
172,2186,Fire 3.10 DoB W1,-3,6,1,3,0,0,0,0,1,3,0,0,0,0,7,1
172,2218,Fire 3.10 DoB W2,-3,6,0,0,1,3,0,0,1,3,0,0,0,0,7,2
172,2235,Fire 3.10 DoB W3,-15,6,5,15,0,0,0,0,5,15,0,0,0,0,7,2
172,2262,Fire 3.10 DoB W4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1
172,2304,Stash Targaryens 3.11,-45,25,0,0,16,48,0,0,16,48,0,0,0,0,7,4
172,2422,Enterprise 3.12-M1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2
172,2440,Enterprise 3.12-M2,-6,7,6,18,0,0,0,0,2,6,4,12,0,0,7,5
183,638,Sprint 1,-13,14,10,12,1,1,0,0,9,11,0,0,2,2,1,2
183,639,Sprint 1,-4,14,4,4,1,1,0,0,2,2,3,3,0,0,1,1
183,650,Sprint 2,-3,14,7,7,0,0,0,0,6,6,1,1,0,0,1,2
183,770,Sprint 3,-3,14,5,5,0,0,0,0,4,4,0,0,1,1,1,1
183,822,Sprint 4,3,14,9,9,0,0,0,0,4,4,1,1,4,4,1,3
183,915,Sprint 5,-3,14,4,4,0,0,0,0,2,2,1,1,1,1,1,1
183,916,Sprint 6,-3,14,6,6,0,0,0,0,4,4,0,0,2,2,1,2
183,928,Sprint 7,-3,14,5,5,0,0,0,0,3,3,1,1,1,1,1,1
183,950,Sprint 8,-4,14,7,7,2,2,0,0,5,5,4,4,0,0,1,1
183,1051,Sprint 9,-2,14,6,6,1,1,0,0,7,7,0,0,0,0,1,1
183,1064,Sprint 10,-1,14,4,4,0,0,1,1,3,3,0,0,0,0,1,1
185,638,Sprint 1,-13,14,10,12,1,1,0,0,9,11,0,0,2,2,1,2
185,639,Sprint 1,-4,14,4,4,1,1,0,0,2,2,3,3,0,0,1,1
185,650,Sprint 2,-3,14,7,7,0,0,0,0,6,6,1,1,0,0,1,2
185,770,Sprint 3,-3,14,5,5,0,0,0,0,4,4,0,0,1,1,1,1
185,822,Sprint 4,3,14,9,9,0,0,0,0,4,4,1,1,4,4,1,3
185,915,Sprint 5,-3,14,4,4,0,0,0,0,2,2,1,1,1,1,1,1
185,916,Sprint 6,-3,14,6,6,0,0,0,0,4,4,0,0,2,2,1,2
185,928,Sprint 7,-3,14,5,5,0,0,0,0,3,3,1,1,1,1,1,1
185,950,Sprint 8,-4,14,7,7,2,2,0,0,5,5,4,4,0,0,1,1
185,1051,Sprint 9,-2,14,6,6,1,1,0,0,7,7,0,0,0,0,1,1
185,1064,Sprint 10,-1,14,4,4,0,0,1,1,3,3,0,0,0,0,1,1
193,1,Sprint 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
193,4,Sprint 2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1
193,9,Sprint 1,-30,14,9,37,0,0,0,0,7,35,0,0,2,2,1,4
193,10,Sprint 2,-38,14,9,44,0,0,0,0,8,43,0,0,1,1,1,1
193,14,Sprint 3,-49,14,10,49,0,0,0,0,9,44,1,5,0,0,1,2
193,64,Sprint 4,-48,14,10,48,0,0,0,0,7,25,3,23,0,0,1,4
193,81,Sprint 5,-21,14,5,22,0,0,0,0,4,21,0,0,1,1,1,2
193,233,Sprint 6,-34,0,12,49,0,0,1,13,7,27,2,7,2,2,1,7
193,314,Sprint 5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
