idissuelink,issuekey,linkedIssueKey,name
210,DATACMNS-554,DATAMONGO-1167,is related to
211,DATACMNS-556,DATAJPA-569,is duplicated by
212,DATACMNS-557,DATAGRAPH-500,is depended on by
213,DATACMNS-557,DATAMONGO-1017,is depended on by
214,DATACMNS-557,DATAES-113,is depended on by
215,DATACMNS-557,DATASOLR-187,is depended on by
216,DATACMNS-557,DATACASS-149,is depended on by
217,DATACMNS-562,DATAJPA-588,relates to
218,DATACMNS-566,DATAJPA-596,is related to
219,DATACMNS-571,SPR-12139,is related to
220,DATACMNS-578,DATACMNS-582,is related to
221,DATACMNS-580,DATAJPA-615,is related to
222,DATACMNS-581,DATAJPA-618,relates to
223,DATACMNS-581,DATAMONGO-1075,is related to
224,DATACMNS-587,DATAMONGO-1105,is depended on by
225,DATACMNS-587,DATAJPA-635,is depended on by
226,DATACMNS-587,DATACMNS-686,relates to
227,DATACMNS-587,DATAKV-90,relates to
228,DATACMNS-588,DATACMNS-589,depends on
229,DATACMNS-589,DATACMNS-588,is depended on by
230,DATACMNS-589,DATAREST-409,relates to
231,DATACMNS-589,DATACMNS-540,relates to
232,DATACMNS-591,DATAJPA-631,relates to
233,DATACMNS-591,SPR-12423,is related to
234,DATACMNS-596,DATAREST-415,is depended on by
235,DATACMNS-596,DATASOLR-216,relates to
236,DATACMNS-599,DATAREST-416,is depended on by
237,DATACMNS-599,DATAJPA-630,relates to
238,DATACMNS-600,DATAREST-417,is depended on by
239,DATACMNS-609,DATASOLR-218,relates to
240,DATACMNS-609,DATACMNS-611,relates to
241,DATACMNS-611,DATACMNS-609,is related to
242,DATACMNS-613,DATAMONGO-1192,relates to
243,DATACMNS-613,SPR-12483,is related to
244,DATACMNS-622,DATAJPA-760,is duplicated by
245,DATACMNS-628,DATAJPA-655,is depended on by
246,DATACMNS-628,DATAMONGO-1131,is depended on by
247,DATACMNS-628,DATAMONGO-1130,is depended on by
248,DATACMNS-629,DATACMNS-641,relates to
249,DATACMNS-630,DATACMNS-89,is depended on by
250,DATACMNS-630,DATACMNS-618,is depended on by
251,DATACMNS-630,DATAREST-437,is depended on by
252,DATACMNS-631,DATAJPA-546,is depended on by
253,DATACMNS-631,DATACMNS-497,relates to
254,DATACMNS-636,DATACMNS-686,relates to
255,DATACMNS-636,DATAJPA-665,relates to
256,DATACMNS-636,DATAMONGO-1146,relates to
257,DATACMNS-637,DATAMONGO-712,is depended on by
258,DATACMNS-638,DATAREST-471,is depended on by
259,DATACMNS-641,DATACMNS-629,is related to
260,DATACMNS-650,DATAES-165,relates to
261,DATACMNS-650,DATAGRAPH-592,is related to
262,DATACMNS-650,DATAJPA-677,is related to
263,DATACMNS-650,DATAMONGO-1165,is related to
264,DATACMNS-656,DATAJPA-685,is depended on by
265,DATACMNS-656,DATACMNS-720,relates to
266,DATACMNS-669,DATACMNS-734,relates to
267,DATACMNS-669,DATACMNS-744,is related to
268,DATACMNS-670,DATACMNS-705,is duplicated by
269,DATACMNS-670,DATAJPA-765,is duplicated by
270,DATACMNS-670,DATAMONGO-1238,is duplicated by
271,DATACMNS-670,DATACMNS-702,is duplicated by
272,DATACMNS-676,DATACMNS-671,is duplicated by
273,DATACMNS-676,DATAJPA-701,relates to
274,DATACMNS-676,DATAMONGO-1197,relates to
275,DATACMNS-678,DATAREST-502,is depended on by
276,DATACMNS-687,DATAJPA-714,relates to
277,DATACMNS-687,DATAMONGO-1213,relates to
278,DATACMNS-699,DATAREST-542,is depended on by
279,DATACMNS-700,DATAREST-554,relates to
280,DATACMNS-713,DATAJPA-728,is related to
281,DATACMNS-714,SPR-13128,depends on
282,DATACMNS-714,DATACMNS-712,is duplicated by
283,DATACMNS-715,SPR-13109,depends on
284,DATACMNS-715,DATAJPA-755,is duplicated by
285,DATACMNS-715,DATACMNS-732,relates to
286,DATACMNS-719,DATACMNS-496,is related to
287,DATACMNS-720,DATACMNS-656,is related to
288,DATACMNS-731,DATAJPA-758,is related to
289,DATACMNS-734,DATACMNS-669,is related to
290,DATACMNS-738,DATACOUCH-149,relates to
291,DATACMNS-738,DATAES-182,relates to
292,DATACMNS-738,DATAREST-625,relates to
293,DATACMNS-738,DATASOLR-250,relates to
294,DATACMNS-738,DATACASS-227,relates to
295,DATACMNS-89,DATACMNS-630,depends on
296,DATACMNS-89,DATACMNS-115,is depended on by
297,DATACMNS-89,DATACMNS-618,relates to
298,DATACMNS-89,DATACMNS-195,relates to
299,DATACMNS-90,DATAGRAPH-399,is depended on by
300,DATACMNS-90,DATAJPA-416,is depended on by
301,DATACMNS-90,DATAMONGO-780,is depended on by
302,DATACOUCH-149,DATACMNS-738,is related to
303,DATAES-101,DATAES-114,is superseded by
304,DATAES-114,DATAES-101,supersedes
305,DATAES-182,DATACMNS-738,is related to
306,DATAGRAPH-347,DATAGRAPH-346,depends on
307,DATAGRAPH-374,DATACMNS-350,depends on
308,DATAGRAPH-399,DATACMNS-90,depends on
309,DATAGRAPH-409,DATAREST-184,is depended on by
310,DATAGRAPH-422,DATACMNS-416,depends on
311,DATAGRAPH-500,DATACMNS-557,depends on
312,DATAGRAPH-617,DATACMNS-542,is related to
313,DATAJPA-107,DATAJPA-381,relates to
