issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
MULE-4757,0,"2010-02-25 00:00:00",Task,10,0,17,22,Minor,0,1,1,2,1,0,0,1,0.75,0,28,0,8,70,187,213,250
MULE-4758,55,"2010-02-25 00:00:00",Bug,0,0,17,22,Major,0,1,1,1,0,0,0,1,0.75,0,15,119,10,71,198,83,189
MULE-4759,0,"2010-02-25 00:00:00",Improvement,9,1,8,13,Major,2,2,2,3,1,0,0,1,0.75,0,25,3,10,84,189,183,346
MULE-4760,175,"2010-02-26 00:00:00",Bug,0,0,93,76,Major,0,0,1,0,0,0,0,1,0,0,0,13,7,100,27,91,354
MULE-4770,0,"2010-03-02 00:00:00",Improvement,1,0,8,15,Major,4,1,1,1,1,0,0,1,0.5906040268456376,1,1,91,2,93,96,113,92
MULE-4771,0,"2010-03-02 00:00:00",Bug,1,1,22,1,Blocker,0,1,1,1,0,0,0,1,0.08333333333333333,0,1,274,8,96,112,228,308
MULE-4772,0,"2010-03-02 00:00:00",Bug,1,0,22,1,Blocker,1,1,1,1,0,0,0,1,0.08333333333333333,0,1,8,6,70,127,187,372
MULE-4773,0,"2010-03-02 00:00:00",Bug,1,0,22,1,Blocker,0,1,1,1,0,0,0,0,0.08333333333333333,0,1,8,6,61,127,187,52
MULE-4774,0,"2010-03-03 00:00:00",Improvement,0,0,0,3,Critical,1,1,2,2,0,0,0,2,0.6363636363636364,0,259,15,8,79,199,297,330
MULE-4776,0,"2010-03-04 00:00:00",Bug,9,0,8,26,Major,2,1,2,2,0,0,0,1,0.18518518518518517,0,26,55,4,75,199,118,279
MULE-4777,0,"2010-03-05 00:00:00",Improvement,9,0,8,27,Major,5,1,1,2,0,0,0,2,0,0,27,53,10,100,30,149,198
MULE-4782,0,"2010-03-11 00:00:00",Bug,0,1,17,16,Major,1,1,2,1,0,0,0,1,0.519163763066202,0,0,14,6,79,54,116,346
MULE-4783,0,"2010-03-11 00:00:00",Bug,1,0,25,4,Major,2,1,2,1,0,0,0,3,0,0,1,13,7,43,186,237,350
MULE-4784,0,"2010-03-11 00:00:00","Patch submission",0,0,0,2,Critical,2,1,2,2,0,0,0,1,0,0,229,17,5,83,163,282,360
MULE-4786,0,"2010-03-12 00:00:00",Bug,0,0,8,14,Major,2,1,2,1,0,0,0,1,0.59,0,0,13,6,63,129,131,255
MULEIDE-173,0,"2010-03-12 00:00:00",Bug,0,0,8,28,Major,1,1,1,2,0,0,0,1,0.65625,0,0,18,10,88,196,67,238
MULE-4790,0,"2010-03-14 00:00:00",Improvement,8,1,8,28,Major,4,1,1,3,0,0,0,2,0.7486725663716814,0,155,3,8,88,33,284,397
MULE-4791,0,"2010-03-15 00:00:00",Bug,1,0,20,5,Trivial,3,1,1,1,1,0,0,1,0.5,0,1,155,8,72,140,214,397
MULE-4792,0,"2010-03-15 00:00:00",Bug,1,0,8,12,Critical,1,1,2,2,1,0,0,2,0.5913621262458472,0,1,9,8,100,119,187,115
MULE-4793,0,"2010-03-16 00:00:00",SubTask,0,0,8,29,Major,0,0,2,2,0,0,0,0,0.5927152317880795,1,2,7,10,62,197,246,14
MULE-4794,0,"2010-03-16 00:00:00",SubTask,3,1,8,12,Critical,2,1,2,2,0,0,0,0,0.5927152317880795,0,8,1,10,62,178,253,224
MULE-4795,0,"2010-03-16 00:00:00",SubTask,3,0,8,29,Major,3,1,2,2,0,0,0,0,0.5927152317880795,1,9,0,5,59,87,19,130
MULE-4796,0,"2010-03-17 00:00:00",Bug,0,1,8,10,Major,1,1,2,1,3,0,0,1,0.6583850931677019,0,0,8,4,69,39,179,328
MULE-4798,0,"2010-03-17 00:00:00",Bug,1,0,8,10,Minor,1,1,1,1,1,0,0,2,0.5901639344262295,0,2,6,3,99,30,187,115
MULE-4799,0,"2010-03-18 00:00:00",Bug,2,0,8,12,Major,2,1,2,2,2,0,0,1,0.654320987654321,0,6,1,8,56,184,237,250
MULE-4800,0,"2010-03-19 00:00:00",Improvement,1,1,8,13,Minor,4,1,2,2,2,0,0,1,0.5915032679738562,2,2,4,6,13,76,186,78
MULE-4802,0,"2010-03-19 00:00:00",Bug,1,0,8,13,Critical,1,1,2,1,2,0,0,1,0.5915032679738562,0,3,3,6,97,140,300,214
MULE-4804,0,"2010-03-23 00:00:00",Bug,1,0,17,27,Major,3,1,1,1,1,0,0,1,0.6503067484662577,0,1,1,9,50,147,228,328
MULE-4805,0,"2010-03-23 00:00:00",Bug,1,0,8,10,Major,1,1,2,2,2,0,0,1,0.6503067484662577,0,1,1,8,53,143,235,390
MULE-4806,0,"2010-03-23 00:00:00",Bug,0,0,8,10,Critical,2,1,2,1,3,0,0,1,0.5941558441558441,0,0,2,10,100,143,251,375
MULE-4807,7,"2010-03-23 00:00:00",Bug,0,0,79,10,Blocker,0,1,1,0,1,0,0,1,0.5941558441558441,1,0,155,5,80,189,237,368
MULE-4808,0,"2010-03-24 00:00:00",Bug,1,0,8,12,Major,2,1,1,1,1,0,0,1,0.5967741935483871,0,2,59,2,71,40,255,214
MULE-4810,0,"2010-03-24 00:00:00",SubTask,0,0,8,12,Critical,0,1,2,1,0,0,0,1,0.5967741935483871,0,0,1,8,60,194,243,292
MULE-4811,0,"2010-03-24 00:00:00",SubTask,1,0,8,30,Critical,3,1,2,1,0,0,0,1,0.5967741935483871,0,1,0,9,45,156,286,2
MULE-4813,0,"2010-03-25 00:00:00",Improvement,605,0,0,3,Critical,1,1,1,1,1,0,0,6,0.7473498233215548,0,1814,118,4,71,199,227,357
MULE-4823,0,"2010-03-30 00:00:00",Bug,1,0,8,24,Minor,3,1,1,1,0,0,0,1,0,0,1,54,7,47,197,19,369
MULEIDE-174,0,"2010-04-02 00:00:00",Bug,0,0,8,22,Major,0,1,1,0,1,0,0,1,0,0,19,174,7,39,192,287,348
MULEIDE-175,0,"2010-04-09 00:00:00",Bug,5,0,8,23,Critical,1,1,1,1,0,0,0,1,0.6424242424242425,0,13,140,4,22,141,111,352
MULE-4831,0,"2010-04-18 00:00:00",Task,5,0,8,22,Major,0,1,1,1,0,0,0,1,0.6445783132530121,0,15,21,8,76,178,290,322
MULE-4837,0,"2010-04-21 00:00:00",Bug,2,0,0,4,Major,8,1,2,1,0,0,0,1,0,0,6,27,9,83,184,220,160
MULE-4838,0,"2010-04-21 00:00:00",Bug,1,0,8,23,Major,3,1,1,1,0,0,0,1,0,0,3,30,4,65,17,239,360
MULEIDE-176,0,"2010-04-21 00:00:00",Bug,0,0,8,23,Critical,1,1,1,1,1,0,0,1,0.6467065868263473,0,0,141,8,94,97,297,177
MULEIDE-177,0,"2010-04-21 00:00:00",Bug,0,0,8,23,Critical,1,1,1,1,0,0,0,1,0.6467065868263473,0,0,141,7,94,6,287,287
SMOOKS-37,0,"2010-04-22 00:00:00",Task,1,0,0,1,Blocker,0,1,1,1,0,0,0,1,0.9642857142857143,0,1,4,9,64,43,255,101
SMOOKS-38,0,"2010-04-22 00:00:00",Task,1,0,0,1,Blocker,0,1,1,1,0,0,0,1,0.9642857142857143,0,1,4,9,96,184,284,249
SMOOKS-39,0,"2010-04-23 00:00:00",Task,2,0,0,2,Major,1,1,1,1,0,0,0,1,0.9666666666666667,1,4,0,5,59,87,61,16
MULE-4840,110,"2010-04-27 00:00:00","Patch submission",0,0,93,76,Critical,1,0,2,0,2,0,0,3,0,0,0,113,9,14,147,228,262
MULE-4842,0,"2010-04-27 00:00:00","Patch submission",7,0,8,23,Trivial,2,1,1,1,0,0,0,3,0,0,21,6,6,78,126,238,116
MULE-4843,0,"2010-04-28 00:00:00",Improvement,0,2,0,0,Major,0,0,2,0,1,0,0,1,0,0,61,51,3,89,190,284,328
MULE-4845,0,"2010-04-30 00:00:00",Task,3,0,8,24,Major,0,1,2,1,1,0,0,1,0.650887573964497,0,3,17,10,80,140,148,386
MULE-4846,0,"2010-04-30 00:00:00",Task,0,0,8,24,Major,0,1,1,1,2,0,0,1,0.650887573964497,0,3,17,8,97,8,23,216
MULE-4847,11,"2010-04-30 00:00:00",Task,0,0,79,24,Critical,0,1,2,2,1,0,0,1,0.650887573964497,0,3,17,4,69,144,176,47
MULE-4849,0,"2010-04-30 00:00:00",Task,0,0,8,24,Major,0,1,2,1,1,0,0,0,0.650887573964497,0,3,17,9,96,185,205,397
MULE-4850,7,"2010-05-03 00:00:00",SubTask,0,0,79,28,Major,0,1,1,1,0,0,0,1,0.6589595375722543,0,0,21,7,45,21,286,102
MULE-4851,7,"2010-05-03 00:00:00",SubTask,0,0,79,28,Major,0,1,1,1,1,0,0,1,0.6589595375722543,0,0,21,5,59,87,19,16
MULE-4852,0,"2010-05-03 00:00:00",SubTask,17,0,8,28,Major,0,1,1,1,0,0,0,1,0.6589595375722543,0,17,4,10,79,94,153,14
MULE-4853,0,"2010-05-03 00:00:00",SubTask,6,0,8,28,Major,1,1,1,1,0,0,0,1,0.6589595375722543,0,18,3,10,62,130,131,329
MULE-4854,0,"2010-05-03 00:00:00",SubTask,6,0,8,28,Major,0,1,1,1,0,0,0,1,0.6589595375722543,0,18,3,8,8,20,161,333
MULE-4855,0,"2010-05-03 00:00:00",SubTask,6,0,8,28,Major,1,1,1,1,1,0,0,1,0.6589595375722543,0,18,3,5,16,181,171,289
MULE-4858,0,"2010-05-03 00:00:00",NewFeature,20,0,17,17,Critical,0,1,1,1,0,0,0,0,0.597444089456869,0,58,9,5,83,193,284,334
MULE-4859,0,"2010-05-03 00:00:00",Task,0,0,8,28,Major,0,1,2,1,0,0,0,1,0.6589595375722543,0,0,17,8,28,78,288,321
MULE-4861,0,"2010-05-03 00:00:00",Task,3,0,8,28,Minor,1,1,1,1,0,0,0,1,0.6589595375722543,0,7,10,7,16,197,298,293
MULE-4863,0,"2010-05-04 00:00:00",Improvement,0,1,0,4,Critical,2,1,2,0,0,0,0,1,0.5,0,0,20,8,83,178,288,329
MULE-4864,0,"2010-05-04 00:00:00",Bug,42,0,17,18,Critical,4,1,1,2,0,0,0,2,0.5208333333333334,0,126,7,5,79,147,249,365
MULE-4867,0,"2010-05-05 00:00:00",Bug,1,1,8,8,Major,2,1,1,1,2,0,0,0,0.4928131416837782,0,2,63,9,63,179,289,255
MULE-4868,0,"2010-05-05 00:00:00",Task,0,0,9,33,Critical,3,1,2,0,1,0,0,1,0.6740331491712708,0,1,14,2,71,40,171,355
MULE-4870,0,"2010-05-06 00:00:00",Bug,0,3,16,4,Minor,1,1,2,0,0,0,0,3,0.6666666666666666,0,0,18,1,27,84,200,70
MULE-4872,5,"2010-05-07 00:00:00",Task,0,0,79,9,Major,0,1,1,1,0,0,0,0,0.5955414012738853,0,76,28,8,28,142,288,366
MULE-4874,0,"2010-05-10 00:00:00",Bug,0,0,42,7,Major,1,0,1,1,0,0,0,2,0,0,0,100,5,93,190,232,312
MULE-4876,0,"2010-05-12 00:00:00",Bug,0,0,0,4,Minor,2,1,2,1,0,0,0,2,0.6666666666666666,0,0,12,9,82,169,189,355
MULE-4877,0,"2010-05-12 00:00:00",Improvement,2,0,9,29,Minor,2,1,1,1,0,0,0,1,0,0,5,7,5,15,186,102,36
MULE-4879,0,"2010-05-13 00:00:00",Bug,31,0,17,22,Minor,2,1,1,1,0,0,0,1,0.49385245901639346,0,91,7,10,87,144,293,391
