issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
JRA-11890,0,"2007-01-08 00:00:00",Bug,0,0,0,1,Critical,1,0,1,0,0,0,0,2,0,0,0,10,6,82,59,228,397
CONF-7585,2,"2007-01-08 00:00:00",Bug,0,0,0,0,Blocker,0,0,1,0,0,0,0,1,0,0,0,1,6,72,178,250,389
JRA-11899,0,"2007-01-09 00:00:00",Bug,0,0,0,2,Major,0,0,1,0,0,0,0,1,0,0,0,9,9,50,166,99,385
JRA-11906,0,"2007-01-10 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,1,0,0,0,1,0,0,0,22,6,28,166,176,390
CWD-119,0,"2007-01-10 00:00:00",Bug,0,0,0,0,Major,0,0,1,1,0,0,0,1,0.3333333333333333,0,1,13,6,59,197,28,226
JRA-11911,0,"2007-01-11 00:00:00",Bug,0,0,0,3,Critical,0,0,1,1,0,0,0,1,0,0,0,7,10,72,37,269,397
CWD-122,0,"2007-01-11 00:00:00",Bug,0,0,0,0,Major,0,0,1,1,0,0,0,1,0.25,0,5,8,7,81,185,287,286
CWD-121,0,"2007-01-11 00:00:00",NewFeature,0,0,0,1,Major,3,0,1,1,1,0,0,1,0.25,0,21,48,4,59,196,230,396
JRA-11928,0,"2007-01-12 00:00:00",Bug,0,0,0,0,Minor,2,0,1,1,1,0,0,1,0,0,2,18,10,89,101,115,33
JRA-11924,0,"2007-01-12 00:00:00",Bug,0,0,0,1,Major,1,0,1,0,0,0,0,1,0,0,0,6,2,43,46,233,384
CWD-125,89,"2007-01-12 00:00:00",NewFeature,0,0,100,2,Critical,0,0,2,0,0,0,0,1,0,0,0,447,4,96,160,143,385
CWD-123,0,"2007-01-12 00:00:00",Improvement,0,0,0,0,Major,0,0,1,1,0,0,0,1,0,1,3,9,10,94,188,248,57
CWD-126,0,"2007-01-14 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.14285714285714285,1,0,1,1,84,30,293,14
JRA-11933,0,"2007-01-15 00:00:00",Bug,0,0,0,1,Major,1,0,1,1,2,0,0,2,0,0,0,995,1,11,193,135,323
CWD-127,0,"2007-01-15 00:00:00",NewFeature,0,0,0,0,Major,0,0,1,1,1,0,0,0,0.125,0,0,14,6,88,196,121,63
JRA-11940,0,"2007-01-16 00:00:00",Suggestion,0,0,0,0,NULL,1,0,1,1,1,0,0,1,0,0,14,42,1,81,181,103,341
CWD-134,1,"2007-01-16 00:00:00",Improvement,1,1,0,0,Blocker,1,0,1,1,0,0,0,0,0.1111111111111111,0,1,14,10,16,140,76,358
CWD-133,4,"2007-01-16 00:00:00",Improvement,0,0,42,7,Blocker,0,1,1,1,0,0,0,0,0.1111111111111111,1,9,917,10,52,40,140,247
CWD-132,0,"2007-01-16 00:00:00",NewFeature,0,0,0,1,Major,0,0,1,1,0,0,0,0,0.1111111111111111,0,1,229,4,85,81,271,5
CWD-131,5,"2007-01-16 00:00:00",Bug,0,0,0,0,Major,0,0,1,1,0,0,0,7,0.1111111111111111,0,1,28,4,85,137,197,195
CWD-130,0,"2007-01-16 00:00:00",Improvement,1,0,0,0,Major,0,0,1,1,1,0,0,1,0.1111111111111111,0,1,14,3,100,151,287,104
CWD-129,0,"2007-01-16 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,1,0.1111111111111111,0,0,13,2,59,177,295,233
CWD-128,0,"2007-01-16 00:00:00",Bug,0,0,0,0,Major,1,0,1,0,0,0,0,1,0.1111111111111111,0,0,13,10,5,178,174,383
JRA-11956,0,"2007-01-17 00:00:00",Bug,0,0,0,1,Critical,6,0,1,1,2,0,0,1,0,0,0,36,7,5,43,174,315
