idissuelink,issuekey,linkedIssueKey,name
131,CDRIVER-630,CDRIVER-577,is related to
132,CDRIVER-632,PYTHON-461,is related to
133,CDRIVER-633,CDRIVER-441,is related to
134,CDRIVER-633,CDRIVER-663,is related to
135,CDRIVER-638,CDRIVER-673,related to
136,CDRIVER-642,DRIVERS-169,is depended on by
137,CDRIVER-645,HHVM-80,related to
138,CDRIVER-645,PHPC-229,related to
139,CDRIVER-651,CXX-583,is depended on by
140,CDRIVER-651,CDRIVER-625,related to
141,CDRIVER-654,CDRIVER-662,is depended on by
142,CDRIVER-654,CDRIVER-589,is related to
143,CDRIVER-660,CDRIVER-707,is related to
144,CDRIVER-660,CDRIVER-570,is testing
145,CDRIVER-661,CDRIVER-570,is testing
146,CDRIVER-662,CDRIVER-654,depends on
147,CDRIVER-662,CDRIVER-644,is related to
148,CDRIVER-678,PHPC-303,related to
149,CDRIVER-679,CDRIVER-699,depends on
150,CDRIVER-679,PHPC-304,related to
151,CDRIVER-679,CDRIVER-716,related to
152,CDRIVER-68,CDRIVER-136,is depended on by
153,CDRIVER-68,CDRIVER-63,is duplicated by
154,CDRIVER-687,CXX-583,is depended on by
155,CDRIVER-695,CDRIVER-721,related to
156,CDRIVER-696,CDRIVER-543,related to
157,CDRIVER-696,PHPC-252,is related to
158,CDRIVER-699,CDRIVER-679,is depended on by
159,CDRIVER-699,CDRIVER-438,is depended on by
160,CDRIVER-699,PHPC-252,is related to
161,CDRIVER-713,CDRIVER-714,is related to
162,CDRIVER-714,CDRIVER-713,related to
163,CDRIVER-721,CDRIVER-726,related to
164,CDRIVER-721,CDRIVER-695,is related to
165,CDRIVER-731,PHPC-306,is depended on by
166,CDRIVER-731,CDRIVER-547,is related to
167,CDRIVER-745,CDRIVER-755,related to
168,CDRIVER-750,CDRIVER-201,related to
169,CDRIVER-755,CDRIVER-745,is related to
170,CDRIVER-768,CDRIVER-766,is related to
171,CDRIVER-775,CDRIVER-738,is duplicated by
172,CSHARP-1013,CSHARP-974,is depended on by
173,CSHARP-1013,CSHARP-875,is depended on by
174,CSHARP-1036,CSHARP-1040,is duplicated by
175,CSHARP-1037,CSHARP-875,is depended on by
176,CSHARP-1050,DRIVERS-176,is depended on by
177,CSHARP-1051,CSHARP-138,is depended on by
178,CSHARP-1070,DRIVERS-179,is depended on by
179,CSHARP-1071,DRIVERS-174,is depended on by
180,CSHARP-1072,DRIVERS-181,is depended on by
181,CSHARP-1078,DRIVERS-182,is depended on by
182,CSHARP-1079,DRIVERS-183,is depended on by
183,CSHARP-1088,SERVER-15807,is related to
184,CSHARP-1089,SERVER-3304,depends on
185,CSHARP-1089,DRIVERS-190,is depended on by
186,CSHARP-1090,DRIVERS-169,is depended on by
187,CSHARP-1097,CSHARP-1106,depends on
188,CSHARP-1102,JAVA-1544,related to
189,CSHARP-1102,PYTHON-785,is related to
190,CSHARP-1104,CSHARP-1131,is related to
191,CSHARP-1104,CSHARP-1132,is related to
192,CSHARP-1106,CSHARP-1097,is depended on by
193,CSHARP-1106,CSHARP-1134,related to
194,CSHARP-1108,SERVER-16137,depends on
195,CSHARP-1108,SERVER-16233,depends on
196,CSHARP-1108,DRIVERS-194,is depended on by
197,CSHARP-1108,DRIVERS-195,is depended on by
198,CSHARP-1131,CSHARP-1104,related to
199,CSHARP-1132,CSHARP-1104,related to
200,CSHARP-1134,CSHARP-1106,is related to
201,CSHARP-1144,CSHARP-1180,is duplicated by
202,CSHARP-1144,CSHARP-1264,related to
203,CSHARP-1145,SERVER-14707,depends on
204,CSHARP-1145,DRIVERS-197,is depended on by
205,CSHARP-1145,CSHARP-1158,is duplicated by
206,CSHARP-1151,CSHARP-1156,is duplicated by
207,CSHARP-1177,CSHARP-758,related to
208,CSHARP-1191,CSHARP-1199,is duplicated by
209,CSHARP-1191,CSHARP-1247,is duplicated by
210,CSHARP-1199,CSHARP-1191,duplicates
211,CSHARP-1225,CSHARP-1267,is related to
212,CSHARP-1231,CSHARP-1018,related to
213,CSHARP-1246,CSHARP-1318,is duplicated by
214,CSHARP-1253,CSHARP-1275,is duplicated by
215,CSHARP-1255,CSHARP-1280,is duplicated by
216,CSHARP-1255,CSHARP-1261,is duplicated by
217,CSHARP-1264,CSHARP-1144,is related to
218,CSHARP-1265,JAVA-1795,is related to
219,CSHARP-1266,JAVA-1794,is related to
220,CSHARP-1274,DRIVERS-228,is depended on by
221,CSHARP-1281,CSHARP-1296,related to
222,CSHARP-1283,DRIVERS-230,is depended on by
223,CSHARP-1283,CSHARP-1288,is duplicated by
224,CSHARP-1287,CSHARP-509,is related to
225,CSHARP-1287,CSHARP-555,is related to
226,CSHARP-1296,CSHARP-1281,is related to
227,CSHARP-1309,CSHARP-1340,is duplicated by
228,CSHARP-1315,SERVER-17943,depends on
229,CSHARP-1321,CSHARP-1329,is duplicated by
230,CSHARP-1323,CSHARP-1259,is duplicated by
231,CSHARP-1323,CSHARP-1250,related to
232,CSHARP-1331,CSHARP-573,related to
233,CSHARP-1337,CSHARP-1347,duplicates
234,CSHARP-1347,DRIVERS-247,is depended on by
